code UIC complet;libellé point d'arrêt;libellé;libellé STIF (info voyageurs);libellé SMS gare;nom gare;adresse;code INSEE commune;commune;X;Y;Guichet adapté PMR;Boucle magnétique;Portes automatiques d'accès au BV;Bandes d'éveil de vigilance ;CAB Passage Elargi Contrôlé (nombre);Nombre d'ascenceurs (1);Escaliers mécaniques (Nbre);Abris à vélos (Nombre) ;Gare non SNCF
87683136;PONT SUR YONNE;PONT SUR YONNE;GARE DE PONT SUR YONNE;;;;89309; Pont-sur-Yonne;664223;2365651;;;;;;;;;0
87682526;PONTHIERRY PRINGY;PONTHIERRY PRINGY;GARE DE PONTHIERRY PRINGY;Ponthierry;Ponthierry-Pringy;Rue Maurice Leroy 77310 Saint Fargeau-Ponthierry;77407; Saint-Fargeau-Ponthierry;615373;2392938;0;0;0;0;Pas de CAB;0;;1;0
87276139;PONTOISE;PONTOISE;GARE DE PONTOISE;Pontoise;Pontoise;Place du général de Gaulle 95300 Pontoise;95500; Pontoise;582358;2449912;0;1;1;1;1;5;5;1;0
87276154;PONT PETIT;PONT PETIT;GARE DE PONT PETIT;Pont Petit;Pont-Petit;Rue Louis Auguste Blanqui 95310 Saint-Ouen-l'Aumône;95572; Saint-Ouen-l'Aumône;584914;2451325;0;0;0;0;Pas de CAB;0;;0;0
87393165;PORCHEFONTAINE;PORCHEFONTAINE;GARE DE PORCHEFONTAINE;Porchefont.;Porchefontaine;Avenue de Porchefontaine 78000   Versailles ;78646; Versailles;586563;2422066;1;1;0;0;1;0;;1;0
87758623;PORT ROYAL;Port Royal;PORT ROYAL;;;;75106; Paris;600012;2426830;;;;;;;;;1
87111278;PORTE DE CLICHY;PORTE DE CLICHY;PORTE DE CLICHY;P. de Clichy;Porte de Clichy;190 ter, Avenue de Clichy 75017   Paris ;75117; Paris;598379;2432865;1;1;0;1;2;2;13;0;0
87276410;PRECY SUR OISE;PRECY SUR OISE;GARE DE PRECY SUR OISE;;;;60513; Précy-sur-Oise;602907;2467271;;;;;;;;;0
87276501;PRESLES COURCELLES;PRESLES COURCELLES;GARE DE PRESLES COURCELLES;Presles C.;Presles-Courcelles;Place de la gare 95590 Presles;95504; Presles;596437;2457275;1;1;0;0;Pas de CAB;0;;0;0
87116160;PROVINS;PROVINS;GARE DE PROVINS;Provins;Provins;Avenue Jean Jaures 77160 Provins;77379; Provins;671359;2395657;0;1;0;0;Pas de CAB;0;;0;0
87382382;PUTEAUX;PUTEAUX;GARE DE PUTEAUX;Puteaux;Puteaux;2 Rue Ferdinand Pelloutier 92800 Puteaux;92062; Puteaux;592444;2431693;0;1;0;1;Pas de CAB;0;1;0;0
87393314;RAMBOUILLET;RAMBOUILLET;GARE DE RAMBOUILLET;Rambouillet;Rambouillet;1 Place Fernand Prudhomme 78120 Rambouillet;78517; Rambouillet;562748;2405139;1;1;1;0;1;0;;1;0
87988709;REMISE A JORELLE (T4);REMISE A JORELLE;REMISE A JORELLE;;;;93010; Bondy;611155;2432744;0;0;0;1;Pas de CAB;0;;0;0
87681338;RIS ORANGIS;RIS ORANGIS;GARE DE RIS ORANGIS;Ris Orangis;Ris-Orangis;5 Rue Edmond Bonte 91130 Ris-Orangis;91521; Ris-Orangis;605741;2406747;1;1;0;0;Pas de CAB;0;;1;0
87758722;ROBINSON;ROBINSON;GARE DE ROBINSON;;;;92071; Chatenay-Malabry;595959;2420179;;;;;;;;;1
87116038;ROISSY EN BRIE;ROISSY EN BRIE;GARE DE ROISSY EN BRIE;Roissy en B.;Roissy-en-Brie;Place de la gare 77680 Roissy-en-Brie;77390; Roissy-en-Brie;623033;2421933;1;1;1;1;1;2;1;1;0
87113696;ROSNY BOIS PERRIER;ROSNY BOIS PERRIER;GARE DE ROSNY BOIS PERRIER;Rosny B. P.;Rosny-Bois-Perrier;Rue Léon Blum 93110 Rosny sous bois;93064; Rosny-sous-Bois;610640;2431610;1;1;1;1;Pas de CAB;0;;1;0
87113704;ROSNY SOUS BOIS;ROSNY SOUS BOIS;GARE DE ROSNY SOUS BOIS;Rosny Sous B;Rosny-sous-Bois;1 place des Martyrs de la Résistance 93110 ROSNY-SOUS-BOIS ;93064; Rosny-sous-Bois;610943;2430279;1;1;1;1;Pas de CAB;2;;1;0
87415885;ROSNY SUR SEINE;ROSNY SUR SEINE;GARE DE ROSNY SUR SEINE;;Rosny-sur-Seine;Rue de la Gare 78710 Rosny Sur Seine;78531; Rosny-sur-Seine;548315;2444570;0;1;0;0;Pas de CAB;0;;0;0
